aX,aY,aZ,gX,gY,gZ
0.328,-0.233,0.964,16.907,29.419,42.603
0.328,-0.285,0.923,15.625,27.893,49.622
0.292,-0.324,0.912,14.648,21.423,55.725
0.255,-0.309,0.93,12.817,13.794,60.303
0.195,-0.251,0.991,9.949,8.85,62.256
0.139,-0.19,1.014,6.226,7.141,61.34
0.116,-0.145,1.027,3.784,7.874,58.655
0.115,-0.091,1.035,3.174,9.155,55.298
0.105,-0.047,1.025,3.54,10.254,51.331
0.114,-0.038,0.977,3.174,11.353,45.959
0.162,-0.059,0.918,3.113,12.878,39.917
0.243,-0.085,0.875,5.737,12.329,36.56
0.236,-0.051,0.925,14.587,9.216,41.26
0.187,-0.024,0.977,18.433,11.719,44.067
0.108,0.003,1.071,20.996,17.151,44.373
0.139,0.008,1.099,23.315,20.508,41.504
0.147,0.077,1.14,23.499,24.353,36.255
0.177,0.098,1.107,21.545,29.419,33.997
0.219,0.1,1.046,17.212,32.959,34.973
0.23,0.081,0.96,12.756,33.63,36.682
0.269,0.1,0.878,9.949,33.264,36.865
0.271,0.143,0.882,10.132,32.776,36.194
0.252,0.153,0.896,13.55,29.541,36.438
0.234,0.179,0.945,18.005,24.78,36.133
0.202,0.195,1.017,23.071,19.653,35.339
0.185,0.195,1.068,26.672,15.747,34.607
0.176,0.199,1.113,27.283,15.015,34.241
0.183,0.199,1.119,26.489,16.479,34.668
0.18,0.199,1.131,25.391,18.127,36.194
0.173,0.196,1.133,23.437,18.738,37.109
0.16,0.205,1.147,18.86,19.226,35.278
0.152,0.19,1.128,12.39,18.311,31.006
0.177,0.186,1.112,4.089,16.296,24.353
0.215,0.191,1.107,-2.441,11.047,18.372
